DelayTime, S0, S1, S2, S3, S4, S5
25,307,307,307,307,307,307
25,305,309,305,309,305,309
25,303,311,303,311,303,311
25,301,313,301,313,301,313
25,299,315,299,315,299,315
25,296,317,296,317,296,317
25,294,319,294,319,294,319
25,292,321,292,321,292,321
25,290,323,290,323,290,323
25,288,325,288,325,288,325
25,286,327,286,327,286,327
25,284,329,284,329,284,329
25,282,331,282,331,282,331
25,280,333,280,333,280,333
25,278,335,278,335,278,335
25,276,337,276,337,276,337
25,274,339,274,339,274,339
25,272,342,272,342,272,342
25,270,344,270,344,270,344
25,268,346,268,346,268,346
25,266,348,266,348,266,348
25,264,350,264,350,264,350
25,262,352,262,352,262,352
25,260,354,260,354,260,354
25,258,356,258,356,258,356
25,256,358,256,358,256,358
25,253,360,253,360,253,360
25,251,362,251,362,251,362
25,249,364,249,364,249,364
25,247,366,247,366,247,366
25,245,368,245,368,245,368
25,243,370,243,370,243,370
25,241,372,241,372,241,372
25,239,374,239,374,239,374
25,237,376,237,376,237,376
25,235,378,235,378,235,378
25,233,380,233,380,233,380
25,231,382,231,382,231,382
25,229,385,229,385,229,385
25,227,387,227,387,227,387
25,225,389,225,389,225,389
25,223,391,223,391,223,391
25,221,393,221,393,221,393
25,219,395,219,395,219,395
25,217,397,217,397,217,397
25,215,399,215,399,215,399
25,212,401,212,401,212,401
25,210,403,210,403,210,403
25,208,405,208,405,208,405
25,206,407,206,407,206,407
25,204,409,204,409,204,409
25,204,409,204,409,204,409
25,206,407,206,407,206,407
25,208,405,208,405,208,405
25,210,403,210,403,210,403
25,212,401,212,401,212,401
25,215,399,215,399,215,399
25,217,397,217,397,217,397
25,219,395,219,395,219,395
25,221,393,221,393,221,393
25,223,391,223,391,223,391
25,225,389,225,389,225,389
25,227,387,227,387,227,387
25,229,385,229,385,229,385
25,231,382,231,382,231,382
25,233,380,233,380,233,380
25,235,378,235,378,235,378
25,237,376,237,376,237,376
25,239,374,239,374,239,374
25,241,372,241,372,241,372
25,243,370,243,370,243,370
25,245,368,245,368,245,368
25,247,366,247,366,247,366
25,249,364,249,364,249,364
25,251,362,251,362,251,362
25,253,360,253,360,253,360
25,256,358,256,358,256,358
25,258,356,258,356,258,356
25,260,354,260,354,260,354
25,262,352,262,352,262,352
25,264,350,264,350,264,350
25,266,348,266,348,266,348
25,268,346,268,346,268,346
25,270,344,270,344,270,344
25,272,342,272,342,272,342
25,274,339,274,339,274,339
25,276,337,276,337,276,337
25,278,335,278,335,278,335
25,280,333,280,333,280,333
25,282,331,282,331,282,331
25,284,329,284,329,284,329
25,286,327,286,327,286,327
25,288,325,288,325,288,325
25,290,323,290,323,290,323
25,292,321,292,321,292,321
25,294,319,294,319,294,319
25,296,317,296,317,296,317
25,299,315,299,315,299,315
25,301,313,301,313,301,313
25,303,311,303,311,303,311
25,305,309,305,309,305,309
25,307,307,307,307,307,307
25,309,305,309,305,309,305
25,311,303,311,303,311,303
25,313,301,313,301,313,301
25,315,299,315,299,315,299
25,317,296,317,296,317,296
25,319,294,319,294,319,294
25,321,292,321,292,321,292
25,323,290,323,290,323,290
25,325,288,325,288,325,288
25,327,286,327,286,327,286
25,329,284,329,284,329,284
25,331,282,331,282,331,282
25,333,280,333,280,333,280
25,335,278,335,278,335,278
25,337,276,337,276,337,276
25,339,274,339,274,339,274
25,342,272,342,272,342,272
25,344,270,344,270,344,270
25,346,268,346,268,346,268
25,348,266,348,266,348,266
25,350,264,350,264,350,264
25,352,262,352,262,352,262
25,354,260,354,260,354,260
25,356,258,356,258,356,258
25,358,256,358,256,358,256
25,360,253,360,253,360,253
25,362,251,362,251,362,251
25,364,249,364,249,364,249
25,366,247,366,247,366,247
25,368,245,368,245,368,245
25,370,243,370,243,370,243
25,372,241,372,241,372,241
25,374,239,374,239,374,239
25,376,237,376,237,376,237
25,378,235,378,235,378,235
25,380,233,380,233,380,233
25,382,231,382,231,382,231
25,385,229,385,229,385,229
25,387,227,387,227,387,227
25,389,225,389,225,389,225
25,391,223,391,223,391,223
25,393,221,393,221,393,221
25,395,219,395,219,395,219
25,397,217,397,217,397,217
25,399,215,399,215,399,215
25,401,212,401,212,401,212
25,403,210,403,210,403,210
25,405,208,405,208,405,208
25,407,206,407,206,407,206
25,409,204,409,204,409,204
25,413,200,413,200,413,200
25,411,202,411,202,411,202
25,409,204,409,204,409,204
25,407,206,407,206,407,206
25,405,208,405,208,405,208
25,403,210,403,210,403,210
25,401,212,401,212,401,212
25,399,215,399,215,399,215
25,397,217,397,217,397,217
25,395,219,395,219,395,219
25,393,221,393,221,393,221
25,391,223,391,223,391,223
25,389,225,389,225,389,225
25,387,227,387,227,387,227
25,385,229,385,229,385,229
25,382,231,382,231,382,231
25,380,233,380,233,380,233
25,378,235,378,235,378,235
25,376,237,376,237,376,237
25,374,239,374,239,374,239
25,372,241,372,241,372,241
25,370,243,370,243,370,243
25,368,245,368,245,368,245
25,366,247,366,247,366,247
25,364,249,364,249,364,249
25,362,251,362,251,362,251
25,360,253,360,253,360,253
25,358,256,358,256,358,256
25,356,258,356,258,356,258
25,354,260,354,260,354,260
25,352,262,352,262,352,262
25,350,264,350,264,350,264
25,348,266,348,266,348,266
25,346,268,346,268,346,268
25,344,270,344,270,344,270
25,342,272,342,272,342,272
25,339,274,339,274,339,274
25,337,276,337,276,337,276
25,335,278,335,278,335,278
25,333,280,333,280,333,280
25,331,282,331,282,331,282
25,329,284,329,284,329,284
25,327,286,327,286,327,286
25,325,288,325,288,325,288
25,323,290,323,290,323,290
25,321,292,321,292,321,292
25,319,294,319,294,319,294
25,317,296,317,296,317,296
25,315,299,315,299,315,299
25,313,301,313,301,313,301
25,311,303,311,303,311,303
25,309,305,309,305,309,305
25,307,307,307,307,307,307
